	0	1	2	3	4	5	6
76	77	PR3-009 2`-O-4`-C-Locked-5-Me-C(Bz) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000126	0.15	2024-05-22	10:37:32	1848570232
77	78	PR4-001. 2`-O-4`-C-Locked-T Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000127	0.15	2024-05-22	10:37:32	1848570232
78	79	HEX Dye Amidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000128	0.15	2024-05-22	10:37:32	1848570232
79	80	R6G фосфорамидит, 6-изомер (Lumiprobe)	INIT_BASE_CODE_OLIGO_LAB_0000131	0.15	2024-05-22	10:37:32	1848570232
80	81	Алкиновый амидит, 5'-терминальный	INIT_BASE_CODE_OLIGO_LAB_0000133	0.15	2024-05-22	10:37:32	1848570232
81	82	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-22	12:23:42	1783121115
82	83	ацетон. чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-05-23	09:57:14	1783121115
83	84	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-23	14:09:35	1783121115
84	85	бензол хч	INIT_BASE_CODE_OLIGO_LAB_0000007	1.0	2024-05-23	15:02:49	1783121115
85	86	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-05-23	16:34:41	1848570232
86	87	Виалы для LCMS светлые	INIT_BASE_CODE_OLIGO_LAB_0000111	1.0	2024-05-24	11:57:09	1848570232
87	88	Ацетонитрил. Extra Dry	INIT_BASE_CODE_OLIGO_LAB_0000002	1.0	2024-05-24	14:21:13	1848570232
88	89	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	1.218	2024-05-25	10:14:34	1848570232
89	90	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	1.289	2024-05-25	10:14:34	1848570232
90	91	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	1.194	2024-05-25	10:14:34	1848570232
91	92	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	1.135	2024-05-25	10:14:34	1848570232
92	93	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	3.5	2024-05-25	10:18:58	1848570232
93	94	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	3.0	2024-05-25	10:20:07	1848570232
94	95	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	3.0	2024-05-25	10:20:33	1848570232
